Batch;Tunge nr;Plassering;Kraft;Filnavn;Vekt [gr];Start time;End time;Tongue Temp (IR);Pipe temp sensor;Pipe temp IR;Frostskade;Avrivningsskade;Dårlig kvalitet;Kommentar;contact_time(s);total_force_app_time(s);num_force_applications;detach_force(g);plot_path
13;4;APEX;Rykk;25.03.25 15-46-41.csv;194;25.03.25 15-46-00;25.03.25 15-46-59;36.0;-24.0;-16.0;TRUE;TRUE;TRUE;løs hinne som løsnet;3.536;2.36;1;1754.3755295566502;./main/output/plots/25.03.25 15-46-41.png
13;5;BASIS;Motor;25.03.25 15-48-21.csv;183;25.03.25 15-47-00;25.03.25 15-48-59;36.0;-21.0;-9.0;TRUE;TRUE;FALSE;Bra bilde av skade;6.970213;2.956015;1;2746.0487068965517;./main/output/plots/25.03.25 15-48-21.png
13;6;APEX;Motor;25.03.25 15-49-59.csv;153;25.03.25 15-49-00;25.03.25 15-50-59;35.0;-16.0;-8.0;TRUE;TRUE;TRUE;løs hinne som løsnet;6.222212;2.232;1;1159.6064650246306;./main/output/plots/25.03.25 15-49-59.png
14;1;APEX;Motor;25.03.25 16-28-57.csv;199;25.03.25 16-28-00;25.03.25 16-29-59;37.0;-7.0;-28.0;TRUE;FALSE;TRUE;;10.619212;7.538985;1;689.0260522167487;./main/output/plots/25.03.25 16-28-57.png
14;2;BASIS;Motor;25.03.25 16-30-56.csv;230;25.03.25 16-30-00;25.03.25 16-31-59;36.0;-17.0;-20.0;TRUE;TRUE;FALSE;;4.851213;1.872;1;1968.252427093596;./main/output/plots/25.03.25 16-30-56.png
14;3;BASIS;Rykk;25.03.25 16-33-25.csv;172;25.03.25 16-32-00;25.03.25 16-33-59;35.0;-22.0;-15.0;TRUE;TRUE;FALSE;Liten avrivning;6.642985;3.0390150000000005;1;2848.90944679803;./main/output/plots/25.03.25 16-33-25.png
14;4;APEX;Rykk;25.03.25 16-35-21.csv;164;25.03.25 16-34-00;25.03.25 16-35-59;35.0;-20.0;-16.0;TRUE;TRUE;FALSE;på formalin;9.307;2.3840000000000003;1;3117.077515270936;./main/output/plots/25.03.25 16-35-21.png
14;5;APEX;Motor;25.03.25 16-40-37.csv;212;25.03.25 16-39-00;25.03.25 16-40-59;34.0;-15.0;-32.0;TRUE;FALSE;FALSE;;10.670267;4.22;1;465.67008275862065;./main/output/plots/25.03.25 16-40-37.png
14;6;BASIS;Rykk;25.03.25 16-43-05.csv;169;25.03.25 16-42-00;25.03.25 16-43-59;34.0;-25.0;-25.0;TRUE;FALSE;FALSE;;5.646999999999999;3.566993;1;275.61896059113286;./main/output/plots/25.03.25 16-43-05.png
14;1;BASIS;Motor;25.03.25 16-44-41.csv;199;25.03.25 16-44-00;25.03.25 16-45-59;36.0;-27.0;-16.0;TRUE;TRUE;FALSE;FLYVENDE TUNGE!;7.659213;1.736;1;3794.361473891626;./main/output/plots/25.03.25 16-44-41.png
14;2;APEX;Motor;25.03.25 16-50-46.csv;230;25.03.25 16-50-00;25.03.25 16-51-59;35.0;-6.0;-21.0;TRUE;TRUE;TRUE;Tunga fløy! Bra test;7.074213;1.907985;1;2488.085585221675;./main/output/plots/25.03.25 16-50-46.png
14;3;APEX;Rykk;25.03.25 16-53-50.csv;172;25.03.25 16-53-00;25.03.25 16-54-59;32.0;-11.0;-11.0;TRUE;FALSE;FALSE;;9.055999;4.6040019999999995;1;1580.379051724138;./main/output/plots/25.03.25 16-53-50.png
14;4;BASIS;Rykk;25.03.25 16-57-15.csv;164;25.03.25 16-57-00;25.03.25 16-57-59;36.0;-9.0;-4.0;TRUE;TRUE;FALSE;;6.903;5.183014;1;3576.961948275862;./main/output/plots/25.03.25 16-57-15.png
14;5;BASIS;Rykk;25.03.25 17-03-21.csv;212;25.03.25 17-03-00;25.03.25 17-03-59;33.0;-5.0;-20.0;TRUE;FALSE;FALSE;;12.127;6.436000000000002;2;1889.0039699507388;./main/output/plots/25.03.25 17-03-21.png
14;6;APEX;Motor;25.03.25 17-05-52.csv;169;25.03.25 17-05-00;25.03.25 17-06-59;34.0;-12.0;-11.0;TRUE;FALSE;FALSE;Rift i tunge, øvre del;8.523213;4.069999999999999;1;1333.325402463054;./main/output/plots/25.03.25 17-05-52.png
